product_id,category,brand_tier,price_usd,promo,endcap,facings,shelf_height_cm,aisle_distance_from_entrance_m,bay_position_1_to_10,distance_from_shopper_cm,traffic_per_hour,weeks_on_shelf,competitor_price_gap,stockouts_per_week,sales_units_week,revenue_usd,conversion_rate,week_start
69,Beverages,Value,2.62,0,0,4,130.3,37.7,4,1.5,186.0,49,0.099,1,88,230.56,0.005631,2025-10-27
70,Snacks,Mainstream,3.4,0,0,5,165.1,11.1,9,3.5,315.5,28,-0.135,0,67,227.8,0.002528,2025-10-27
71,Beverages,Premium,4.03,0,0,4,112.6,32.4,9,3.5,172.1,18,0.058,0,39,157.17,0.002698,2025-10-27
72,Snacks,Mainstream,3.77,0,0,5,131.5,23.1,2,3.5,203.3,17,0.241,0,56,211.12,0.00328,2025-10-27
73,Household,Value,6.14,0,0,6,41.6,55.9,4,1.5,84.4,36,-0.252,0,1,6.14,0.000141,2025-10-27
74,Beverages,Premium,3.64,0,1,5,173.2,56.0,8,2.5,168.8,1,0.073,0,52,189.28,0.003668,2025-10-27
75,Beverages,Mainstream,2.88,0,0,5,77.3,11.9,2,3.5,294.6,8,0.102,0,12,34.56,0.000485,2025-10-27
76,Snacks,Mainstream,3.04,0,0,1,83.1,37.2,2,3.5,170.2,34,0.219,0,9,27.36,0.00063,2025-10-27
77,Snacks,Premium,4.02,0,0,2,63.4,38.3,2,3.5,105.8,2,0.109,0,0,0.0,0.0,2025-10-27
78,Personal Care,Value,4.39,0,0,3,42.7,33.8,6,0.5,163.9,16,0.015,0,0,0.0,0.0,2025-10-27
79,Cereal,Mainstream,4.46,0,0,4,148.5,7.5,5,0.5,270.4,34,0.065,1,91,405.86,0.004006,2025-10-27
80,Personal Care,Value,4.88,0,0,5,66.1,39.2,4,1.5,161.7,14,-0.11,0,3,14.64,0.000221,2025-10-27
81,Personal Care,Mainstream,6.19,0,1,5,72.4,47.9,2,3.5,143.3,49,-0.058,0,4,24.76,0.000332,2025-10-27
82,Snacks,Value,2.71,0,0,1,57.3,20.7,7,1.5,204.2,51,-0.2,0,0,0.0,0.0,2025-10-27
83,Personal Care,Mainstream,5.65,0,0,2,176.2,30.9,9,3.5,189.4,2,0.223,0,14,79.1,0.00088,2025-10-27
84,Beverages,Value,2.29,0,0,1,147.2,7.0,3,2.5,247.8,10,0.068,0,69,158.01,0.003315,2025-10-27
85,Beverages,Mainstream,2.9,0,0,4,169.5,55.8,7,1.5,96.1,48,-0.137,0,35,101.5,0.004336,2025-10-27
86,Beverages,Value,2.37,1,0,4,159.3,6.6,8,2.5,288.8,2,0.041,0,158,374.46,0.006512,2025-10-27
87,Personal Care,Mainstream,5.83,0,0,1,165.9,12.5,6,0.5,304.6,26,0.174,2,57,332.31,0.002228,2025-10-27
88,Snacks,Mainstream,3.26,0,0,6,101.9,17.9,6,0.5,252.5,50,0.149,0,53,172.78,0.002499,2025-10-27
89,Beverages,Mainstream,3.31,0,0,2,55.6,49.5,2,3.5,139.6,31,-0.139,0,1,3.31,8.5e-05,2025-10-27
90,Cereal,Mainstream,4.87,0,0,4,79.0,42.0,10,4.5,139.4,16,-0.47,0,9,43.83,0.000769,2025-10-27
91,Beverages,Mainstream,2.8,0,0,5,73.9,0.4,10,4.5,397.1,1,0.059,0,15,42.0,0.00045,2025-10-27
92,Personal Care,Premium,6.05,0,0,1,137.6,11.0,8,2.5,197.7,21,-0.133,0,43,260.15,0.002589,2025-10-27
93,Snacks,Mainstream,3.58,0,0,6,33.9,45.0,10,4.5,176.2,29,0.093,0,0,0.0,0.0,2025-10-27
94,Snacks,Value,3.24,0,0,6,51.3,24.2,7,1.5,272.2,5,0.143,0,1,3.24,4.4e-05,2025-10-27
95,Snacks,Premium,4.48,0,0,6,132.4,1.6,7,1.5,332.1,28,0.167,0,97,434.56,0.003477,2025-10-27
96,Cereal,Mainstream,6.24,0,0,1,48.5,57.8,9,3.5,114.0,22,0.262,0,0,0.0,0.0,2025-10-27
97,Snacks,Value,3.42,0,0,3,37.2,9.1,1,4.5,265.4,17,0.185,0,0,0.0,0.0,2025-10-27
98,Beverages,Mainstream,2.9,1,0,2,46.4,30.6,3,2.5,168.1,51,0.262,0,0,0.0,0.0,2025-10-27
99,Beverages,Value,2.46,0,0,3,133.6,14.9,3,2.5,216.7,47,0.207,1,86,211.56,0.004724,2025-10-27
100,Household,Value,6.23,1,0,6,50.9,44.2,7,1.5,131.1,37,0.22,0,1,6.23,9.1e-05,2025-10-27
101,Household,Mainstream,6.43,0,0,5,51.9,46.6,3,2.5,137.0,31,-0.006,0,1,6.43,8.7e-05,2025-10-27
102,Personal Care,Value,5.24,0,0,5,64.5,23.8,4,1.5,211.6,25,-0.193,0,2,10.48,0.000113,2025-10-27
103,Snacks,Premium,4.52,0,1,3,142.6,39.5,5,0.5,244.5,4,0.372,1,120,542.4,0.005842,2025-10-27
104,Household,Premium,8.96,0,0,6,60.1,54.5,8,2.5,109.1,16,0.009,0,4,35.84,0.000436,2025-10-27
105,Personal Care,Mainstream,5.88,0,1,6,35.3,48.9,6,0.5,120.3,1,0.184,0,0,0.0,0.0,2025-10-27
106,Personal Care,Mainstream,6.52,0,0,5,165.9,24.9,1,4.5,248.9,20,-0.083,0,27,176.04,0.001291,2025-10-27
107,Snacks,Mainstream,3.55,0,0,5,161.4,26.5,7,1.5,156.9,25,0.145,0,45,159.75,0.003415,2025-10-27
108,Snacks,Premium,4.31,0,0,4,57.7,53.2,5,0.5,101.5,32,-0.367,0,0,0.0,0.0,2025-10-27
109,Beverages,Mainstream,3.48,1,0,1,69.8,2.1,2,3.5,319.8,19,-0.062,0,10,34.8,0.000372,2025-10-27
110,Household,Value,6.55,0,0,2,58.3,1.4,7,1.5,331.5,14,-0.015,0,1,6.55,3.6e-05,2025-10-27
111,Snacks,Mainstream,3.38,0,0,5,137.9,12.3,3,2.5,201.3,37,0.069,0,80,270.4,0.004732,2025-10-27
112,Beverages,Mainstream,2.99,0,0,2,67.5,49.7,5,0.5,106.0,8,0.161,0,1,2.99,0.000112,2025-10-27
113,Snacks,Value,3.03,0,0,2,169.7,9.2,10,4.5,213.2,7,-0.164,0,44,133.32,0.002457,2025-10-27
114,Cereal,Mainstream,5.17,1,0,6,154.1,17.1,3,2.5,249.4,37,0.099,1,108,558.36,0.005154,2025-10-27
115,Beverages,Value,2.22,0,0,3,118.3,37.7,9,3.5,179.6,31,0.184,0,42,93.24,0.002783,2025-10-27
116,Household,Premium,7.49,0,0,6,31.3,11.1,5,0.5,213.6,46,0.352,0,1,7.49,5.6e-05,2025-10-27
117,Personal Care,Value,4.27,0,1,2,162.6,18.2,10,4.5,322.8,39,0.106,0,76,324.52,0.002803,2025-10-27
118,Personal Care,Value,4.24,0,0,3,139.2,28.0,9,3.5,210.1,47,-0.069,0,65,275.6,0.003683,2025-10-27
119,Snacks,Value,2.78,0,0,3,148.2,13.7,9,3.5,220.5,35,-0.191,1,95,264.1,0.00513,2025-10-27
120,Cereal,Value,4.52,1,1,3,40.8,59.5,3,2.5,90.3,44,0.274,0,0,0.0,0.0,2025-10-27
121,Cereal,Value,4.17,0,0,3,136.3,9.8,8,2.5,224.0,9,0.111,0,61,254.37,0.003242,2025-10-27
122,Cereal,Value,4.33,0,0,2,150.7,51.0,4,1.5,105.5,28,-0.003,0,41,177.53,0.004625,2025-10-27
123,Beverages,Value,2.25,0,0,5,173.5,28.2,10,4.5,229.4,50,-0.243,0,48,108.0,0.002491,2025-10-27
124,Snacks,Value,2.83,0,0,2,117.1,7.7,10,4.5,269.2,42,-0.14,0,69,195.27,0.003051,2025-10-27
125,Beverages,Mainstream,3.17,1,1,3,106.2,7.1,7,1.5,298.3,21,0.095,2,163,516.71,0.006504,2025-10-27
126,Snacks,Mainstream,3.7,0,0,6,93.8,30.0,10,4.5,179.5,49,0.053,0,13,48.1,0.000862,2025-10-27
127,Snacks,Mainstream,3.25,0,0,3,135.2,21.2,6,0.5,172.4,17,-0.292,2,103,334.75,0.007113,2025-10-27
128,Beverages,Mainstream,3.04,0,0,1,168.1,14.1,1,4.5,260.9,2,0.095,2,45,136.8,0.002054,2025-10-27
129,Beverages,Value,3.17,0,0,1,120.0,57.5,9,3.5,87.4,42,-0.235,1,38,120.46,0.005174,2025-10-27
130,Cereal,Value,4.23,0,0,3,64.1,27.8,6,0.5,162.0,22,0.203,0,6,25.38,0.000441,2025-10-27
131,Beverages,Value,2.37,0,0,4,32.6,55.7,1,4.5,111.1,2,0.031,0,1,2.37,0.000107,2025-10-27
132,Household,Mainstream,6.87,1,0,6,122.9,9.8,1,4.5,341.7,11,-0.07,0,100,687.0,0.003484,2025-10-27
133,Cereal,Premium,6.3,0,0,1,159.7,11.0,8,2.5,357.0,4,0.149,0,51,321.3,0.001701,2025-10-27
134,Snacks,Premium,4.3,0,0,4,39.9,35.8,10,4.5,133.9,52,0.053,0,0,0.0,0.0,2025-10-27
135,Cereal,Mainstream,4.97,0,1,2,89.6,16.2,7,1.5,264.6,45,0.199,0,27,134.19,0.001215,2025-10-27
136,Beverages,Mainstream,2.59,0,0,3,171.0,11.1,5,0.5,276.9,49,0.012,0,79,204.61,0.003396,2025-10-27
137,Household,Mainstream,6.35,0,0,3,105.3,5.7,4,1.5,340.4,10,0.021,0,33,209.55,0.001154,2025-10-27
138,Snacks,Mainstream,3.44,0,0,2,63.1,4.6,5,0.5,211.1,42,-0.043,0,2,6.88,0.000113,2025-10-27
139,Personal Care,Mainstream,5.4,0,0,1,83.0,45.2,4,1.5,131.3,30,0.039,0,5,27.0,0.000453,2025-10-27
140,Beverages,Premium,3.53,1,0,1,91.2,16.9,3,2.5,212.0,16,0.255,0,16,56.48,0.000898,2025-10-27
141,Snacks,Premium,4.29,0,0,4,47.6,58.7,2,3.5,74.1,35,-0.075,0,0,0.0,0.0,2025-10-27
142,Snacks,Mainstream,3.51,0,0,2,129.1,11.0,6,0.5,210.2,50,0.097,0,66,231.66,0.003738,2025-10-27
143,Household,Mainstream,7.64,0,1,2,118.8,21.3,3,2.5,240.1,24,-0.132,2,77,588.28,0.003818,2025-10-27
144,Cereal,Premium,6.18,0,1,1,127.2,22.5,2,3.5,257.3,2,-0.31,4,108,667.44,0.004996,2025-10-27
145,Snacks,Mainstream,3.63,0,0,1,121.6,30.0,3,2.5,204.3,44,0.031,3,47,170.61,0.002739,2025-10-27
146,Snacks,Premium,4.13,1,0,1,32.5,52.2,8,2.5,118.7,10,0.056,0,0,0.0,0.0,2025-10-27
147,Snacks,Value,3.14,0,0,3,56.2,50.1,6,0.5,135.5,10,-0.017,0,3,9.42,0.000264,2025-10-27
148,Cereal,Premium,6.48,0,0,1,54.8,0.6,5,0.5,317.5,33,-0.224,0,3,19.44,0.000112,2025-10-27
149,Snacks,Mainstream,3.81,1,0,2,44.7,24.6,6,0.5,176.2,42,0.046,0,1,3.81,6.8e-05,2025-10-27
150,Beverages,Value,2.73,0,0,2,140.3,49.7,6,0.5,115.3,42,0.04,1,58,158.34,0.00599,2025-10-27
151,Personal Care,Mainstream,5.82,0,1,2,48.0,0.0,5,0.5,443.9,46,-0.133,0,1,5.82,2.7e-05,2025-10-27
152,Household,Value,5.88,0,0,1,130.2,32.0,9,3.5,196.9,46,-0.203,0,44,258.72,0.00266,2025-10-27
153,Beverages,Mainstream,3.06,0,0,1,56.8,15.6,8,2.5,229.2,7,-0.038,0,2,6.12,0.000104,2025-10-27
154,Cereal,Mainstream,5.55,0,0,6,47.7,24.8,2,3.5,169.6,16,0.098,0,0,0.0,0.0,2025-10-27
155,Beverages,Mainstream,2.8,0,0,5,54.4,25.2,9,3.5,203.2,38,0.062,0,1,2.8,5.9e-05,2025-10-27
156,Personal Care,Premium,6.44,0,0,1,106.3,23.5,2,3.5,214.8,21,-0.132,0,30,193.2,0.001662,2025-10-27
157,Snacks,Value,3.02,0,0,2,126.8,53.5,1,4.5,132.0,38,0.021,0,34,102.68,0.003066,2025-10-27
158,Personal Care,Value,4.86,0,0,3,151.8,32.2,5,0.5,151.8,24,0.133,0,47,228.42,0.003685,2025-10-27
159,Personal Care,Mainstream,5.06,1,1,6,49.3,54.2,4,1.5,122.3,24,-0.176,0,2,10.12,0.000195,2025-10-27
160,Personal Care,Value,4.63,0,0,6,122.4,43.6,8,2.5,149.9,2,0.009,0,52,240.76,0.004131,2025-10-27
161,Beverages,Mainstream,2.96,0,1,5,146.1,21.1,7,1.5,246.9,32,0.201,0,166,491.36,0.008004,2025-10-27
162,Household,Value,4.76,0,0,1,76.9,29.6,1,4.5,165.4,45,-0.191,0,7,33.32,0.000504,2025-10-27
163,Beverages,Mainstream,2.93,0,0,3,42.0,23.4,5,0.5,241.9,43,0.173,0,0,0.0,0.0,2025-10-27
164,Beverages,Mainstream,2.94,0,0,3,53.4,49.7,8,2.5,96.4,18,0.243,0,0,0.0,0.0,2025-10-27
165,Cereal,Premium,6.14,0,0,4,43.7,11.3,8,2.5,347.8,36,-0.033,0,0,0.0,0.0,2025-10-27
166,Snacks,Value,3.42,0,0,6,163.1,56.2,6,0.5,94.9,11,-0.051,0,40,136.8,0.005018,2025-10-27
167,Personal Care,Premium,6.08,0,0,2,86.5,34.8,7,1.5,181.6,33,0.155,0,6,36.48,0.000393,2025-10-27
168,Personal Care,Mainstream,5.06,0,0,4,108.5,36.7,6,0.5,151.1,22,-0.028,0,33,166.98,0.0026,2025-10-27
169,Snacks,Mainstream,2.69,0,0,2,145.3,31.0,3,2.5,179.3,49,-0.353,2,105,282.45,0.006973,2025-10-27
170,Household,Mainstream,6.66,0,0,2,85.7,33.3,6,0.5,158.1,37,-0.015,0,6,39.96,0.000452,2025-10-27
171,Snacks,Mainstream,3.35,0,0,2,127.4,40.1,7,1.5,163.3,4,0.071,0,45,150.75,0.003281,2025-10-27
172,Cereal,Value,4.03,0,0,5,41.5,39.3,1,4.5,138.4,46,0.111,0,1,4.03,8.6e-05,2025-10-27
173,Snacks,Mainstream,3.9,0,1,3,102.1,12.8,7,1.5,283.9,38,-0.132,0,98,382.2,0.00411,2025-10-27
174,Household,Value,6.48,0,0,5,44.5,34.9,3,2.5,208.8,12,-0.04,0,0,0.0,0.0,2025-10-27
175,Beverages,Mainstream,3.01,0,0,5,67.2,21.3,1,4.5,210.0,15,0.147,0,2,6.02,0.000113,2025-10-27
176,Beverages,Mainstream,2.88,0,0,3,74.0,38.2,8,2.5,134.6,9,-0.009,0,6,17.28,0.000531,2025-10-27
177,Snacks,Mainstream,3.87,0,0,6,137.6,32.9,4,1.5,132.6,17,-0.229,0,81,313.47,0.007272,2025-10-27
178,Household,Premium,8.72,0,1,1,131.1,10.8,5,0.5,426.5,50,0.186,6,122,1063.84,0.003405,2025-10-27
179,Household,Value,5.47,0,0,6,142.1,44.1,7,1.5,122.0,47,-0.032,0,45,246.15,0.004392,2025-10-27
180,Personal Care,Premium,5.78,1,0,1,39.3,27.4,6,0.5,251.9,29,0.164,0,1,5.78,4.7e-05,2025-10-27
181,Household,Mainstream,6.69,0,0,3,179.1,33.1,7,1.5,175.3,19,-0.209,0,26,173.94,0.001766,2025-10-27
182,Household,Premium,9.42,1,1,5,38.2,40.4,10,4.5,182.3,20,-0.018,0,0,0.0,0.0,2025-10-27
183,Cereal,Premium,7.83,0,0,5,153.9,39.2,7,1.5,150.0,50,0.076,0,37,289.71,0.002937,2025-10-27
184,Snacks,Value,2.98,0,1,2,141.0,44.9,1,4.5,227.0,11,-0.013,5,103,306.94,0.005401,2025-10-27
185,Personal Care,Mainstream,5.09,0,0,6,118.8,12.4,3,2.5,179.7,40,-0.177,0,50,254.5,0.003312,2025-10-27
186,Personal Care,Value,4.15,0,1,1,95.8,6.6,5,0.5,361.8,52,-0.358,3,87,361.05,0.002863,2025-10-27
187,Snacks,Premium,4.61,0,0,5,143.6,40.2,5,0.5,137.8,45,0.228,1,46,212.06,0.003975,2025-10-27
188,Beverages,Mainstream,2.51,1,0,4,141.0,14.2,4,1.5,233.5,38,0.037,0,193,484.43,0.00984,2025-10-27
189,Personal Care,Value,4.93,0,0,2,50.6,6.9,2,3.5,285.2,47,0.175,0,0,0.0,0.0,2025-10-27
190,Snacks,Premium,4.73,0,0,6,148.9,7.9,2,3.5,262.7,12,0.139,0,65,307.45,0.002946,2025-10-27
191,Household,Value,6.21,0,1,5,41.8,18.8,2,3.5,282.7,52,0.09,0,1,6.21,4.2e-05,2025-10-27
192,Beverages,Mainstream,2.93,0,1,1,105.1,59.5,10,4.5,121.2,5,-0.048,0,38,111.34,0.003731,2025-10-27
193,Beverages,Mainstream,3.16,1,0,1,126.8,9.4,4,1.5,217.6,1,0.073,3,104,328.64,0.00569,2025-10-27
194,Personal Care,Value,4.75,0,1,1,153.3,17.9,10,4.5,296.0,11,0.215,1,76,361.0,0.003056,2025-10-27
195,Beverages,Mainstream,2.77,0,0,3,99.5,55.2,4,1.5,118.0,32,0.012,0,29,80.33,0.002925,2025-10-27
196,Beverages,Premium,4.5,1,0,3,65.5,57.8,4,1.5,92.9,13,0.285,0,2,9.0,0.000256,2025-10-27
197,Cereal,Value,4.09,1,0,5,103.6,13.7,5,0.5,321.8,33,-0.225,0,127,519.43,0.004698,2025-10-27
198,Household,Mainstream,7.55,0,0,5,67.5,52.8,10,4.5,135.9,6,-0.241,0,0,0.0,0.0,2025-10-27
199,Beverages,Value,2.0,0,0,1,109.3,8.3,6,0.5,307.4,37,0.148,3,93,186.0,0.003601,2025-10-27
200,Snacks,Mainstream,3.97,1,0,3,99.4,45.7,1,4.5,145.4,12,-0.123,0,27,107.19,0.002211,2025-10-27
201,Personal Care,Value,5.4,0,0,5,147.1,0.8,3,2.5,316.5,28,0.307,0,62,334.8,0.002332,2025-10-27
202,Household,Premium,8.76,0,0,6,66.0,24.4,10,4.5,233.1,7,0.201,0,1,8.76,5.1e-05,2025-10-27
203,Cereal,Premium,6.6,0,0,2,60.0,14.8,2,3.5,301.0,51,0.238,0,4,26.4,0.000158,2025-10-27
204,Beverages,Value,2.69,1,0,1,101.1,42.2,9,3.5,155.2,20,0.133,0,36,96.84,0.002761,2025-10-27
205,Beverages,Mainstream,2.8,1,0,1,37.6,1.0,10,4.5,288.2,32,-0.138,0,0,0.0,0.0,2025-10-27
206,Beverages,Mainstream,3.16,0,0,3,64.4,27.9,3,2.5,182.1,26,-0.249,0,5,15.8,0.000327,2025-10-27
207,Beverages,Mainstream,2.76,0,0,3,83.1,41.8,6,0.5,151.2,31,0.224,0,20,55.2,0.001575,2025-10-27
